,open,high,low,close,volume,returns,RSI_14,MACD,MACD_signal,MACD_histogram,ATR_14,SMA_7,SMA_20,SMA_50,EMA_12,EMA_26,BB_middle,BB_upper,BB_lower
open,1.0,0.9974752653536112,0.9958347921965113,0.9941153047347312,0.3439936308675239,-0.034499653722990575,0.15192167829935177,0.3436559222733928,0.37863286413600983,-0.029559402977632206,0.7161613087424322,0.9932173218043276,0.9774735056365303,0.9331850130154956,0.9903575949093802,0.9755998965664407,0.9774735056365303,0.9517973321217081,0.9793489393900122
high,0.9974752653536112,1.0,0.9955735087796912,0.997670639238141,0.3639848712448939,0.010163897959602831,0.16028825484483655,0.33993385686820204,0.3722928331121849,-0.022654422132134266,0.7265072471885107,0.9927353625648089,0.9781436197329704,0.9373837337984072,0.9902673836230413,0.9759132959092726,0.9781436197329704,0.9541931557425594,0.9778642087211918
low,0.9958347921965113,0.9955735087796912,1.0,0.9975055053997598,0.2925764877483335,0.022863261234130666,0.17559552028006079,0.3584553275416708,0.38751016893255935,-0.008987110118787861,0.6982654680625258,0.9885652735969452,0.971082308801258,0.9212213197277651,0.9854543525594562,0.9689712471518402,0.971082308801258,0.9427116788586098,0.9764856254223936
close,0.9941153047347312,0.997670639238141,0.9975055053997598,1.0,0.32621531108810226,0.05364550642157857,0.1752544993537917,0.34819740070211086,0.3776217349834725,-0.012261683130451754,0.7118701927094025,0.98947446735601,0.9740569604396011,0.9293380470538403,0.9869257859824623,0.9715944446476759,0.9740569604396011,0.9481373614815699,0.9763379052120076
volume,0.3439936308675239,0.3639848712448939,0.2925764877483335,0.32621531108810226,1.0,-0.1660704973450474,-0.2169509308857304,-0.18919896462792557,-0.11864962716880503,-0.2478259880541012,0.5201079999385806,0.2892736917393068,0.30609371555522435,0.3407902758327543,0.30574881498716244,0.3333776853182782,0.30609371555522435,0.3704914602731922,0.21708936809226156
returns,-0.034499653722990575,0.010163897959602831,0.022863261234130666,0.05364550642157857,-0.1660704973450474,1.0,0.2587664895791697,0.07159582148912161,0.029775040986285865,0.1382327264920529,0.0027147534029132946,0.03850823239605162,0.01171969965624686,-0.014476657294753666,0.03449907708887612,0.027476469299326015,0.01171969965624686,0.008161001301226236,0.01576283672231326
RSI_14,0.15192167829935177,0.16028825484483655,0.17559552028006079,0.1752544993537917,-0.2169509308857304,0.2587664895791697,1.0,0.6441179435509994,0.4625923486643132,0.6785429106736791,-0.15887270988072136,0.10940331163722467,-0.04756210419501021,-0.17917952398446133,0.06639652865143197,-0.0031250093136723257,-0.04756210419501021,-0.1013527245157785,0.020420152850656615
MACD,0.3436559222733928,0.33993385686820204,0.3584553275416708,0.34819740070211086,-0.18919896462792557,0.07159582148912161,0.6441179435509994,1.0,0.9485469373761923,0.36460835264872116,-0.13633959373766666,0.310951664664195,0.14036165169680884,-0.2917133260855638,0.26120241611382633,0.15819622744243636,0.14036165169680884,0.06123040219039569,0.23394049283368248
MACD_signal,0.37863286413600983,0.3722928331121849,0.38751016893255935,0.3776217349834725,-0.11864962716880503,0.029775040986285865,0.4625923486643132,0.9485469373761923,1.0,0.05100853558500241,-0.06299085074871164,0.36616847022842,0.24259285571855724,-0.2239361864528276,0.32767159350658837,0.2317968441433221,0.24259285571855724,0.17266935001548003,0.32165838957274595
MACD_histogram,-0.029559402977632206,-0.022654422132134266,-0.008987110118787861,-0.012261683130451754,-0.2478259880541012,0.1382327264920529,0.6785429106736791,0.36460835264872116,0.05100853558500241,1.0,-0.2481760865857479,-0.09619300056039846,-0.30541862667555253,-0.2509301736906838,-0.13975837720871404,-0.18270121606468362,-0.30541862667555253,-0.34583844587845,-0.24609084468702458
ATR_14,0.7161613087424322,0.7265072471885107,0.6982654680625258,0.7118701927094025,0.5201079999385806,0.0027147534029132946,-0.15887270988072136,-0.13633959373766666,-0.06299085074871164,-0.2481760865857479,1.0,0.7358391432083168,0.7766863829109756,0.809497633520219,0.7554316742173987,0.787669879857497,0.7766863829109756,0.8355954395942368,0.6800846626426175
SMA_7,0.9932173218043276,0.9927353625648089,0.9885652735969452,0.98947446735601,0.2892736917393068,0.03850823239605162,0.10940331163722467,0.310951664664195,0.36616847022842,-0.09619300056039846,0.7358391432083168,1.0,0.9879078683119014,0.946665825845158,0.9979545882408677,0.9868173150878932,0.9879078683119014,0.965142296515224,0.9858644928176872
SMA_20,0.9774735056365303,0.9781436197329704,0.971082308801258,0.9740569604396011,0.30609371555522435,0.01171969965624686,-0.04756210419501021,0.14036165169680884,0.24259285571855724,-0.30541862667555253,0.7766863829109756,0.9879078683119014,1.0,0.9747498251172664,0.9951818367086769,0.9981505915730263,1.0,0.9889681550981434,0.9830746857862265
SMA_50,0.9331850130154956,0.9373837337984072,0.9212213197277651,0.9293380470538403,0.3407902758327543,-0.014476657294753666,-0.17917952398446133,-0.2917133260855638,-0.2239361864528276,-0.2509301736906838,0.809497633520219,0.946665825845158,0.9747498251172664,1.0,0.9614016745797723,0.9839282134329086,0.9747498251172663,0.9790432601858495,0.9361346929999035
EMA_12,0.9903575949093802,0.9902673836230413,0.9854543525594562,0.9869257859824623,0.30574881498716244,0.03449907708887612,0.06639652865143197,0.26120241611382633,0.32767159350658837,-0.13975837720871404,0.7554316742173987,0.9979545882408677,0.9951818367086769,0.9614016745797723,1.0,0.9944501347491517,0.9951818367086769,0.9767945917081927,0.9875009794668741
EMA_26,0.9755998965664407,0.9759132959092726,0.9689712471518402,0.9715944446476759,0.3333776853182782,0.027476469299326015,-0.0031250093136723257,0.15819622744243636,0.2317968441433221,-0.18270121606468362,0.787669879857497,0.9868173150878932,0.9981505915730263,0.9839282134329086,0.9944501347491517,1.0,0.9981505915730263,0.98791241490212,0.9803002030127393
BB_middle,0.9774735056365303,0.9781436197329704,0.971082308801258,0.9740569604396011,0.30609371555522435,0.01171969965624686,-0.04756210419501021,0.14036165169680884,0.24259285571855724,-0.30541862667555253,0.7766863829109756,0.9879078683119014,1.0,0.9747498251172663,0.9951818367086769,0.9981505915730263,1.0,0.9889681550981434,0.9830746857862265
BB_upper,0.9517973321217081,0.9541931557425594,0.9427116788586098,0.9481373614815699,0.3704914602731922,0.008161001301226236,-0.1013527245157785,0.06123040219039569,0.17266935001548003,-0.34583844587845,0.8355954395942368,0.965142296515224,0.9889681550981434,0.9790432601858495,0.9767945917081927,0.98791241490212,0.9889681550981434,1.0,0.9450916798114143
BB_lower,0.9793489393900122,0.9778642087211918,0.9764856254223936,0.9763379052120076,0.21708936809226156,0.01576283672231326,0.020420152850656615,0.23394049283368248,0.32165838957274595,-0.24609084468702458,0.6800846626426175,0.9858644928176872,0.9830746857862265,0.9361346929999035,0.9875009794668741,0.9803002030127393,0.9830746857862265,0.9450916798114143,1.0
